"Order ID,Order Date,State,Category,Segment,Quantity,Sub-Category,City,Sales,Profit,Profit Margin,Order Month,Order Year"
"ORD-10000,2021-01-01 00:00:00,Pennsylvania,Office Supplies,Home Office,5,Paper,Philadelphia,945.28,144.99,0.15338312457684497,1,2021"
"ORD-10001,2021-01-01 01:00:00,Florida,Technology,Home Office,2,Accessories,Miami,341.95,-8.85,-0.025880976750986988,1,2021"
"ORD-10002,2021-01-01 02:00:00,Ohio,Office Supplies,Consumer,9,Paper,Cleveland,47.07,-1.89,-0.040152963671128104,1,2021"
"ORD-10003,2021-01-01 03:00:00,Washington,Furniture,Corporate,7,Bookcases,Tacoma,1335.73,93.18,0.06975960710622656,1,2021"
"ORD-10004,2021-01-01 04:00:00,Pennsylvania,Technology,Corporate,8,Accessories,Pittsburgh,1179.56,-114.53,-0.09709552714571536,1,2021"
"ORD-10005,2021-01-01 05:00:00,Michigan,Furniture,Consumer,6,Tables,Ann Arbor,1248.63,71.75,0.05746297942545029,1,2021"
"ORD-10006,2021-01-01 06:00:00,New York,Furniture,Consumer,9,Tables,New York City,517.45,114.23,0.22075562856314618,1,2021"
"ORD-10007,2021-01-01 07:00:00,Pennsylvania,Office Supplies,Corporate,6,Paper,Pittsburgh,486.16,128.82,0.2649744939937469,1,2021"
"ORD-10008,2021-01-01 08:00:00,Ohio,Office Supplies,Consumer,7,Paper,Cleveland,1662.29,19.68,0.011839089448892793,1,2021"
"ORD-10009,2021-01-01 09:00:00,Washington,Furniture,Consumer,7,Chairs,Seattle,1524.89,212.75,0.13951826033353223,1,2021"
"ORD-10010,2021-01-01 10:00:00,Florida,Furniture,Consumer,9,Chairs,Orlando,680.21,-136.03,-0.19998235838932094,1,2021"
"ORD-10011,2021-01-01 11:00:00,Ohio,Technology,Corporate,8,Accessories,Cincinnati,1279.23,131.37,0.1026945897141249,1,2021"
"ORD-10012,2021-01-01 12:00:00,Ohio,Office Supplies,Home Office,1,Storage,Cincinnati,1658.02,557.72,0.3363771245220203,1,2021"
"ORD-10013,2021-01-01 13:00:00,New York,Technology,Home Office,4,Phones,Rochester,1778.77,-50.26,-0.028255479910275078,1,2021"
"ORD-10014,2021-01-01 14:00:00,Illinois,Technology,Consumer,7,Accessories,Chicago,21.55,2.74,0.12714617169373552,1,2021"
"ORD-10015,2021-01-01 15:00:00,Washington,Technology,Corporate,8,Laptops,Seattle,1628.79,357.12,0.21925478422632752,1,2021"
"ORD-10016,2021-01-01 16:00:00,Texas,Furniture,Consumer,7,Bookcases,Houston,707.28,95.42,0.13491120913923765,1,2021"
"ORD-10017,2021-01-01 17:00:00,Ohio,Technology,Corporate,3,Accessories,Columbus,1439.57,43.44,0.030175677459241303,1,2021"
"ORD-10018,2021-01-01 18:00:00,Illinois,Technology,Consumer,4,Accessories,Aurora,749.09,-86.96,-0.11608751952368873,1,2021"
"ORD-10019,2021-01-01 19:00:00,Texas,Furniture,Corporate,7,Chairs,Dallas,1216.44,66.95,0.05503765085002137,1,2021"
"ORD-10020,2021-01-01 20:00:00,Washington,Office Supplies,Corporate,8,Binders,Spokane,1297.1,-49.12,-0.03786909259116491,1,2021"
"ORD-10021,2021-01-01 21:00:00,California,Office Supplies,Home Office,7,Storage,Los Angeles,815.94,149.12,0.182758536166875,1,2021"
"ORD-10022,2021-01-01 22:00:00,Michigan,Technology,Consumer,6,Laptops,Ann Arbor,1030.44,44.36,0.04304957105702418,1,2021"
"ORD-10023,2021-01-01 23:00:00,Illinois,Furniture,Home Office,9,Bookcases,Aurora,1455.36,389.21,0.26743211301671066,1,2021"
